f_kpi_id;d_kpi_id;d_target_id;d_level0_id;d_level1_id;d_level2_id;d_level3_id;d_level4_id;Numerator;Denominator;d_date_id
64;2;1;1;1;1;1;1;2847049;2835587;20190401
65;2;1;1;1;1;1;1;2166730;2252333;20190501
66;2;1;1;1;1;1;1;2490797;2799880;20190601
67;2;1;1;1;1;1;1;2513891;2571157;20190701
68;2;1;1;1;1;1;1;2547664;2144628;20190801
69;2;1;1;1;1;1;1;2661532;2467583;20190901
70;2;1;1;1;1;1;1;2540178;2072721;20191001
71;2;1;1;1;1;1;1;2707460;2044344;20191101
72;2;1;1;1;1;1;1;2348884;2902491;20191201
73;2;1;1;1;1;2;1;2412239;2825862;20190101
74;2;1;1;1;1;2;1;2713919;2065370;20190201
75;2;1;1;1;1;2;1;2569029;2544416;20190301
76;2;1;1;1;1;2;1;2496233;2225742;20190401
77;2;1;1;1;1;2;1;2842674;2803153;20190501
78;2;1;1;1;1;2;1;2045830;2473131;20190601
79;2;1;1;1;1;2;1;2731864;2111476;20190701
80;2;1;1;1;1;2;1;2515354;2228111;20190801
81;2;1;1;1;1;2;1;2617353;2168865;20190901
82;2;1;1;1;1;2;1;2299785;2252354;20191001
83;2;1;1;1;1;2;1;2197235;2304332;20191101
84;2;1;1;1;1;2;1;2934887;2835123;20191201
85;2;1;1;1;2;3;1;2811146;2349417;20190101
86;2;1;1;1;2;3;1;2781709;2472948;20190201
87;2;1;1;1;2;3;1;2500429;2110896;20190301
88;2;1;1;1;2;3;1;2048962;2175844;20190401
89;2;1;1;1;2;3;1;2405550;2445126;20190501
90;2;1;1;1;2;3;1;2465187;2667772;20190601
91;2;1;1;1;2;3;1;2053427;2478568;20190701
92;2;1;1;1;2;3;1;2653419;2562790;20190801
93;2;1;1;1;2;3;1;2758642;2047155;20190901
94;2;1;1;1;2;3;1;2461343;2279371;20191001
95;2;1;1;1;2;3;1;2607953;2733582;20191101
96;2;1;1;1;2;3;1;2132972;2398455;20191201
97;2;1;1;1;1;5;1;2289525;2835825;20190101
98;2;1;1;1;1;5;1;2382812;2334101;20190201
99;2;1;1;1;1;5;1;2730931;2918453;20190301
100;2;1;1;1;1;5;1;2184447;2539973;20190401
101;2;1;1;1;1;5;1;2218070;2411007;20190501
102;2;1;1;1;1;5;1;2145218;2160878;20190601
103;2;1;1;1;1;5;1;2873379;2813636;20190701
104;2;1;1;1;1;5;1;2268531;2162320;20190801
105;2;1;1;1;1;5;1;2659727;2632771;20190901
106;2;1;1;1;1;5;1;2408410;2169106;20191001
107;2;1;1;1;1;5;1;2364279;2277545;20191101
108;2;1;1;1;1;5;1;2812102;2386717;20191201
109;2;1;1;1;3;4;1;2227762;2858856;20190101
110;2;1;1;1;3;4;1;2167559;2070891;20190201
111;2;1;1;1;3;4;1;2792598;2699691;20190301
112;2;1;1;1;3;4;1;2275872;2489649;20190401
113;2;1;1;1;3;4;1;2663796;2431070;20190501
114;2;1;1;1;3;4;1;2266131;2792739;20190601
115;2;1;1;1;3;4;1;2238904;2873607;20190701
116;2;1;1;1;3;4;1;2063281;2316917;20190801
117;2;1;1;1;3;4;1;2727268;2219216;20190901
118;2;1;1;1;3;4;1;2202066;2539358;20191001
119;2;1;1;1;3;4;1;2104296;2524858;20191101
120;2;1;1;1;3;4;1;2530425;2672456;20191201
121;3;1;1;1;1;1;1;2687738;2110851;20190101
122;3;1;1;1;1;1;1;2624568;2442416;20190201
123;3;1;1;1;1;1;1;2571536;2066030;20190301
124;3;1;1;1;1;1;1;2923809;2922322;20190401
125;3;1;1;1;1;1;1;2694028;2450463;20190501
126;3;1;1;1;1;1;1;2622721;2512492;20190601
127;3;1;1;1;1;1;1;2231760;2555674;20190701
128;3;1;1;1;1;1;1;2938683;2506196;20190801
129;3;1;1;1;1;1;1;2387311;2328621;20190901
130;3;1;1;1;1;1;1;2870632;2347096;20191001
131;3;1;1;1;1;1;1;2387676;2259615;20191101
132;3;1;1;1;1;1;1;2691758;2569305;20191201
133;3;1;1;1;1;2;1;2770572;2426836;20190101
134;3;1;1;1;1;2;1;2523951;2252269;20190201
135;3;1;1;1;1;2;1;2853685;2741126;20190301
136;3;1;1;1;1;2;1;2375402;2168431;20190401
137;3;1;1;1;1;2;1;2659453;2813504;20190501
138;3;1;1;1;1;2;1;2439944;2255777;20190601
139;3;1;1;1;1;2;1;2530295;2234708;20190701
140;3;1;1;1;1;2;1;2300716;2158963;20190801
141;3;1;1;1;1;2;1;2670901;2674814;20190901
142;3;1;1;1;1;2;1;2291637;2753400;20191001
143;3;1;1;1;1;2;1;2762163;2787341;20191101
144;3;1;1;1;1;2;1;2211102;2686031;20191201
145;3;1;1;1;2;3;1;2427662;2104998;20190101
146;3;1;1;1;2;3;1;2638118;2658126;20190201
147;3;1;1;1;2;3;1;2335263;2380349;20190301
148;3;1;1;1;2;3;1;2321063;2156783;20190401
149;3;1;1;1;2;3;1;2640976;2468066;20190501
150;3;1;1;1;2;3;1;2764087;2298067;20190601
151;3;1;1;1;2;3;1;2268738;2312565;20190701
152;3;1;1;1;2;3;1;2121396;2114752;20190801
153;3;1;1;1;2;3;1;2397697;2605979;20190901
154;3;1;1;1;2;3;1;2483933;2297347;20191001
155;3;1;1;1;2;3;1;2043494;2598889;20191101
156;3;1;1;1;2;3;1;2062430;2524328;20191201
157;3;1;1;1;1;5;1;2818416;2782414;20190101
158;3;1;1;1;1;5;1;2633811;2096258;20190201
159;3;1;1;1;1;5;1;2581264;2609442;20190301
160;3;1;1;1;1;5;1;2056004;2372968;20190401
161;3;1;1;1;1;5;1;2479895;2311357;20190501
162;3;1;1;1;1;5;1;2746263;2332969;20190601
163;3;1;1;1;1;5;1;2366149;2339460;20190701
164;3;1;1;1;1;5;1;2192816;2524718;20190801
165;3;1;1;1;1;5;1;2465910;2757625;20190901
166;3;1;1;1;1;5;1;2493506;2113602;20191001
167;3;1;1;1;1;5;1;2611589;2856830;20191101
168;3;1;1;1;1;5;1;2077727;2539129;20191201
169;3;1;1;1;3;4;1;2512208;2830396;20190101
170;3;1;1;1;3;4;1;2509790;2637028;20190201
171;3;1;1;1;3;4;1;2245685;2468731;20190301
172;3;1;1;1;3;4;1;2722177;2416980;20190401
173;3;1;1;1;3;4;1;2429671;2151439;20190501
174;3;1;1;1;3;4;1;2071861;2490674;20190601
175;3;1;1;1;3;4;1;2111364;2195688;20190701
176;3;1;1;1;3;4;1;2806827;2588696;20190801
177;3;1;1;1;3;4;1;2134945;2073820;20190901
178;3;1;1;1;3;4;1;2692586;2672234;20191001
179;3;1;1;1;3;4;1;2559713;2090488;20191101
180;3;1;1;1;3;4;1;2799062;2465777;20191201
181;4;1;1;1;1;1;1;2532394;2534207;20190101
182;4;1;1;1;1;1;1;2475177;2629583;20190201
183;4;1;1;1;1;1;1;2568325;2880345;20190301
184;4;1;1;1;1;1;1;2533808;2934505;20190401
185;4;1;1;1;1;1;1;2473573;2879059;20190501
186;4;1;1;1;1;1;1;2890272;2819499;20190601
187;4;1;1;1;1;1;1;2762870;2253587;20190701
188;4;1;1;1;1;1;1;2091883;2795297;20190801
189;4;1;1;1;1;1;1;2185350;2754134;20190901
190;4;1;1;1;1;1;1;2388526;2419047;20191001
191;4;1;1;1;1;1;1;2855843;2440071;20191101
192;4;1;1;1;1;1;1;2223170;2775847;20191201
193;4;1;1;1;1;2;1;2114497;2380928;20190101
194;4;1;1;1;1;2;1;2168031;2790703;20190201
195;4;1;1;1;1;2;1;2570525;2469190;20190301
196;4;1;1;1;1;2;1;2231205;2890087;20190401
197;4;1;1;1;1;2;1;2848452;2667631;20190501
198;4;1;1;1;1;2;1;2502307;2209479;20190601
199;4;1;1;1;1;2;1;2373935;2315396;20190701
200;4;1;1;1;1;2;1;2889097;2859482;20190801
201;4;1;1;1;1;2;1;2870309;2936820;20190901
202;4;1;1;1;1;2;1;2397331;2205874;20191001
203;4;1;1;1;1;2;1;2277729;2056911;20191101
204;4;1;1;1;1;2;1;2465241;2077661;20191201
205;4;1;1;1;2;3;1;2310192;2412626;20190101
206;4;1;1;1;2;3;1;2359487;2370265;20190201
207;4;1;1;1;2;3;1;2302218;2766515;20190301
208;4;1;1;1;2;3;1;2324317;2773919;20190401
209;4;1;1;1;2;3;1;2610772;2578317;20190501
210;4;1;1;1;2;3;1;2434589;2447122;20190601
211;4;1;1;1;2;3;1;2177753;2698067;20190701
212;4;1;1;1;2;3;1;2367250;2199503;20190801
213;4;1;1;1;2;3;1;2293360;2087650;20190901
214;4;1;1;1;2;3;1;2093208;2108995;20191001
215;4;1;1;1;2;3;1;2143631;2068485;20191101
216;4;1;1;1;2;3;1;2134158;2791302;20191201
217;4;1;1;1;1;5;1;2359873;2431082;20190101
218;4;1;1;1;1;5;1;2709456;2688063;20190201
219;4;1;1;1;1;5;1;2201121;2292253;20190301
220;4;1;1;1;1;5;1;2877888;2184387;20190401
221;4;1;1;1;1;5;1;2774830;2351599;20190501
222;4;1;1;1;1;5;1;2797143;2875450;20190601
223;4;1;1;1;1;5;1;2869572;2748980;20190701
224;4;1;1;1;1;5;1;2583560;2141350;20190801
225;4;1;1;1;1;5;1;2332955;2210292;20190901
226;4;1;1;1;1;5;1;2865112;2228312;20191001
227;4;1;1;1;1;5;1;2175371;2824727;20191101
228;4;1;1;1;1;5;1;2123516;2729692;20191201
229;4;1;1;1;3;4;1;2313034;2615676;20190101
230;4;1;1;1;3;4;1;2556019;2816488;20190201
231;4;1;1;1;3;4;1;2343025;2311784;20190301
232;4;1;1;1;3;4;1;2748538;2838111;20190401
233;4;1;1;1;3;4;1;2075003;2233247;20190501
234;4;1;1;1;3;4;1;2289439;2643558;20190601
235;4;1;1;1;3;4;1;2530875;2046951;20190701
236;4;1;1;1;3;4;1;2734464;2456741;20190801
237;4;1;1;1;3;4;1;2766286;2595233;20190901
238;4;1;1;1;3;4;1;2451497;2696694;20191001
239;4;1;1;1;3;4;1;2427395;2411602;20191101
240;4;1;1;1;3;4;1;2339810;2230089;20191201
241;5;1;1;1;1;1;1;2512092;2857312;20190101
242;5;1;1;1;1;1;1;2310229;2789499;20190201
243;5;1;1;1;1;1;1;2651878;2184843;20190301
244;5;1;1;1;1;1;1;2341107;2699912;20190401
245;5;1;1;1;1;1;1;2922407;2745730;20190501
246;5;1;1;1;1;1;1;2857442;2913333;20190601
247;5;1;1;1;1;1;1;2846242;2822885;20190701
248;5;1;1;1;1;1;1;2716897;2168517;20190801
249;5;1;1;1;1;1;1;2683626;2181736;20190901
250;5;1;1;1;1;1;1;2549037;2625239;20191001
251;5;1;1;1;1;1;1;2779073;2494589;20191101
252;5;1;1;1;1;1;1;2044136;2230949;20191201
253;5;1;1;1;1;2;1;2122308;2140912;20190101
254;5;1;1;1;1;2;1;2454132;2828079;20190201
255;5;1;1;1;1;2;1;2924005;2565491;20190301
256;5;1;1;1;1;2;1;2610156;2898174;20190401
257;5;1;1;1;1;2;1;2111534;2449420;20190501
258;5;1;1;1;1;2;1;2774741;2566625;20190601
259;5;1;1;1;1;2;1;2469293;2605590;20190701
260;5;1;1;1;1;2;1;2326680;2611889;20190801
261;5;1;1;1;1;2;1;2402715;2052151;20190901
262;5;1;1;1;1;2;1;2526212;2723669;20191001
263;5;1;1;1;1;2;1;2643960;2840007;20191101
264;5;1;1;1;1;2;1;2186613;2251197;20191201
265;5;1;1;1;2;3;1;2166944;2615278;20190101
266;5;1;1;1;2;3;1;2625765;2394553;20190201
267;5;1;1;1;2;3;1;2931204;2434745;20190301
268;5;1;1;1;2;3;1;2802268;2345274;20190401
269;5;1;1;1;2;3;1;2877288;2372632;20190501
270;5;1;1;1;2;3;1;2065913;2293393;20190601
271;5;1;1;1;2;3;1;2432051;2885036;20190701
272;5;1;1;1;2;3;1;2599730;2462619;20190801
273;5;1;1;1;2;3;1;2409595;2872590;20190901
274;5;1;1;1;2;3;1;2693134;2344590;20191001
275;5;1;1;1;2;3;1;2604342;2718812;20191101
276;5;1;1;1;2;3;1;2629749;2317253;20191201
277;5;1;1;1;1;5;1;2777856;2541879;20190101
278;5;1;1;1;1;5;1;2699752;2220396;20190201
279;5;1;1;1;1;5;1;2832785;2567609;20190301
280;5;1;1;1;1;5;1;2690381;2772763;20190401
281;5;1;1;1;1;5;1;2270304;2878641;20190501
282;5;1;1;1;1;5;1;2085940;2548247;20190601
283;5;1;1;1;1;5;1;2868793;2804308;20190701
284;5;1;1;1;1;5;1;2108838;2203211;20190801
285;5;1;1;1;1;5;1;2482446;2704519;20190901
286;5;1;1;1;1;5;1;2776351;2921284;20191001
287;5;1;1;1;1;5;1;2451120;2436986;20191101
288;5;1;1;1;1;5;1;2498112;2862986;20191201
289;5;1;1;1;3;4;1;2524515;2187319;20190101
290;5;1;1;1;3;4;1;2171392;2320953;20190201
291;5;1;1;1;3;4;1;2324216;2606574;20190301
292;5;1;1;1;3;4;1;2538504;2392555;20190401
293;5;1;1;1;3;4;1;2779000;2714189;20190501
294;5;1;1;1;3;4;1;2475086;2315468;20190601
295;5;1;1;1;3;4;1;2129407;2272904;20190701
296;5;1;1;1;3;4;1;2473276;2203499;20190801
297;5;1;1;1;3;4;1;2493842;2784356;20190901
298;5;1;1;1;3;4;1;2583871;2195005;20191001
299;5;1;1;1;3;4;1;2116588;2381939;20191101
300;5;1;1;1;3;4;1;2163026;2109004;20191201
301;6;1;1;1;1;1;1;2108458;2763013;20190101
302;6;1;1;1;1;1;1;2716146;2391284;20190201
303;6;1;1;1;1;1;1;2508036;2747608;20190301
304;6;1;1;1;1;1;1;2742134;2339200;20190401
305;6;1;1;1;1;1;1;2336896;2076887;20190501
306;6;1;1;1;1;1;1;2630724;2673366;20190601
307;6;1;1;1;1;1;1;2545883;2707377;20190701
308;6;1;1;1;1;1;1;2376768;2266900;20190801
309;6;1;1;1;1;1;1;2328918;2671125;20190901
310;6;1;1;1;1;1;1;2715494;2757330;20191001
311;6;1;1;1;1;1;1;2083964;2385133;20191101
312;6;1;1;1;1;1;1;2402575;2626707;20191201
313;6;1;1;1;1;2;1;2217034;2586020;20190101
314;6;1;1;1;1;2;1;2376737;2271173;20190201
315;6;1;1;1;1;2;1;2235825;2378983;20190301
316;6;1;1;1;1;2;1;2403661;2193990;20190401
317;6;1;1;1;1;2;1;2185910;2138184;20190501
318;6;1;1;1;1;2;1;2165682;2170560;20190601
319;6;1;1;1;1;2;1;2730017;2194548;20190701
320;6;1;1;1;1;2;1;2513066;2925392;20190801
321;6;1;1;1;1;2;1;2436490;2907188;20190901
322;6;1;1;1;1;2;1;2155974;2059895;20191001
323;6;1;1;1;1;2;1;2136596;2211498;20191101
324;6;1;1;1;1;2;1;2726247;2903539;20191201
325;6;1;1;1;2;3;1;2221355;2716305;20190101
326;6;1;1;1;2;3;1;2617247;2285882;20190201
327;6;1;1;1;2;3;1;2597905;2710284;20190301
328;6;1;1;1;2;3;1;2714287;2701609;20190401
329;6;1;1;1;2;3;1;2872844;2872254;20190501
330;6;1;1;1;2;3;1;2185945;2093295;20190601
331;6;1;1;1;2;3;1;2062490;2491354;20190701
332;6;1;1;1;2;3;1;2537741;2327482;20190801
333;6;1;1;1;2;3;1;2778321;2919138;20190901
334;6;1;1;1;2;3;1;2918650;2439236;20191001
335;6;1;1;1;2;3;1;2075053;2720946;20191101
336;6;1;1;1;2;3;1;2425046;2624343;20191201
337;6;1;1;1;1;5;1;2270128;2475014;20190101
338;6;1;1;1;1;5;1;2296752;2493354;20190201
339;6;1;1;1;1;5;1;2702367;2630693;20190301
340;6;1;1;1;1;5;1;2774687;2827947;20190401
341;6;1;1;1;1;5;1;2823508;2075010;20190501
342;6;1;1;1;1;5;1;2562034;2600431;20190601
343;6;1;1;1;1;5;1;2044517;2328283;20190701
344;6;1;1;1;1;5;1;2222036;2112688;20190801
345;6;1;1;1;1;5;1;2121232;2129403;20190901
346;6;1;1;1;1;5;1;2705231;2898724;20191001
347;6;1;1;1;1;5;1;2143484;2207931;20191101
348;6;1;1;1;1;5;1;2577083;2622165;20191201
349;6;1;1;1;3;4;1;2118133;2124469;20190101
350;6;1;1;1;3;4;1;2543073;2863017;20190201
351;6;1;1;1;3;4;1;2759813;2724237;20190301
352;6;1;1;1;3;4;1;2460351;2128188;20190401
353;6;1;1;1;3;4;1;2286152;2415189;20190501
354;6;1;1;1;3;4;1;2476309;2691140;20190601
355;6;1;1;1;3;4;1;2253287;2578888;20190701
356;6;1;1;1;3;4;1;2428800;2508152;20190801
357;6;1;1;1;3;4;1;2559010;2148227;20190901
358;6;1;1;1;3;4;1;2532803;2191750;20191001
359;6;1;1;1;3;4;1;2707730;2359659;20191101
360;6;1;1;1;3;4;1;2262189;2720932;20191201
361;1;1;1;1;1;1;1;2437653;2420841;20190102
362;1;1;1;1;1;1;1;2323832;2907446;20190202
363;1;1;1;1;1;1;1;2779926;2304871;20190302
364;1;1;1;1;1;1;1;2305163;2396534;20190402
365;1;1;1;1;1;1;1;2371153;2301313;20190502
366;1;1;1;1;1;1;1;2285435;2814606;20190602
367;1;1;1;1;1;1;1;2580494;2584787;20190702
368;1;1;1;1;1;1;1;2456230;2369265;20190802
369;1;1;1;1;1;1;1;2158157;2427879;20190902
370;1;1;1;1;1;1;1;2335356;2347144;20191002
371;1;1;1;1;1;1;1;2378809;2282243;20191102
372;1;1;1;1;1;1;1;2229649;2551058;20191202
373;1;1;1;1;1;2;1;2781009;2694968;20190102
374;1;1;1;1;1;2;1;2318025;2057415;20190202
375;1;1;1;1;1;2;1;2173399;2583905;20190302
376;1;1;1;1;1;2;1;2757436;2225504;20190402
377;1;1;1;1;1;2;1;2454937;2330577;20190502
378;1;1;1;1;1;2;1;2462876;2277515;20190602
379;1;1;1;1;1;2;1;2109983;2283615;20190702
380;1;1;1;1;1;2;1;2917016;2668184;20190802
381;1;1;1;1;1;2;1;2775481;2065478;20190902
382;1;1;1;1;1;2;1;2677133;2490533;20191002
383;1;1;1;1;1;2;1;2191255;2812845;20191102
384;1;1;1;1;1;2;1;2686429;2190375;20191202
385;1;1;1;1;2;3;1;2439889;2192173;20190102
386;1;1;1;1;2;3;1;2520076;2705888;20190202
387;1;1;1;1;2;3;1;2733702;2206247;20190302
388;1;1;1;1;2;3;1;2792990;2438587;20190402
389;1;1;1;1;2;3;1;2214194;2305505;20190502
390;1;1;1;1;2;3;1;2709233;2559184;20190602
391;1;1;1;1;2;3;1;2395398;2686238;20190702
392;1;1;1;1;2;3;1;2516074;2792322;20190802
393;1;1;1;1;2;3;1;2661625;2253571;20190902
394;1;1;1;1;2;3;1;2751317;2530612;20191002
395;1;1;1;1;2;3;1;2531707;2114089;20191102
396;1;1;1;1;2;3;1;2471515;2066311;20191202
397;1;1;1;1;3;5;1;2580860;2596801;20190102
398;1;1;1;1;3;5;1;2469806;2803762;20190202
399;1;1;1;1;3;5;1;2357139;2826258;20190302
400;1;1;1;1;3;5;1;2095683;2177620;20190402
401;1;1;1;1;3;5;1;2191637;2508459;20190502
402;1;1;1;1;3;5;1;2101062;2156894;20190602
403;1;1;1;1;3;5;1;2237982;2391468;20190702
404;1;1;1;1;3;5;1;2175711;2709566;20190802
405;1;1;1;1;3;5;1;2312401;2732367;20190902
406;1;1;1;1;3;5;1;2451958;2437522;20191002
407;1;1;1;1;3;5;1;2759249;2349200;20191102
408;1;1;1;1;3;5;1;2819163;2834839;20191202
409;1;1;1;1;4;4;1;2639219;2898996;20190102
410;1;1;1;1;4;4;1;2806731;2538251;20190202
411;1;1;1;1;4;4;1;2453522;2432298;20190302
412;1;1;1;1;4;4;1;2379532;2805609;20190402
413;1;1;1;1;4;4;1;2074436;2330465;20190502
414;1;1;1;1;4;4;1;2142908;2917637;20190602
415;1;1;1;1;4;4;1;2369444;2114437;20190702
416;1;1;1;1;4;4;1;2122923;2237279;20190802
417;1;1;1;1;4;4;1;2436289;2674488;20190902
418;1;1;1;1;4;4;1;2708420;2575151;20191002
419;1;1;1;1;4;4;1;2931452;2568838;20191102
420;1;1;1;1;4;4;1;2781084;2452134;20191202
421;2;1;1;1;1;1;1;2298989;2744497;20190102
422;2;1;1;1;1;1;1;2496604;2645751;20190202
423;2;1;1;1;1;1;1;2743437;2289688;20190302
424;2;1;1;1;1;1;1;2363794;2722935;20190402
425;2;1;1;1;1;1;1;2597224;2105252;20190502
426;2;1;1;1;1;1;1;2432734;2752738;20190602
427;2;1;1;1;1;1;1;2315798;2554686;20190702
428;2;1;1;1;1;1;1;2862482;2401543;20190802
429;2;1;1;1;1;1;1;2744522;2539134;20190902
430;2;1;1;1;1;1;1;2391532;2563683;20191002
431;2;1;1;1;1;1;1;2308359;2425369;20191102
432;2;1;1;1;1;1;1;2182436;2378678;20191202
433;2;1;1;1;1;2;1;2081885;2446626;20190102
434;2;1;1;1;1;2;1;2677833;2806950;20190202
435;2;1;1;1;1;2;1;2078891;2839637;20190302
436;2;1;1;1;1;2;1;2154502;2782342;20190402
437;2;1;1;1;1;2;1;2828805;2257724;20190502
438;2;1;1;1;1;2;1;2064597;2225900;20190602
439;2;1;1;1;1;2;1;2883035;2073251;20190702
440;2;1;1;1;1;2;1;2668882;2792077;20190802
441;2;1;1;1;1;2;1;2216434;2477728;20190902
442;2;1;1;1;1;2;1;2614036;2368169;20191002
443;2;1;1;1;1;2;1;2157240;2358391;20191102
444;2;1;1;1;1;2;1;2553573;2673191;20191202
445;2;1;1;1;2;3;1;2243061;2640605;20190102
446;2;1;1;1;2;3;1;2696613;2148857;20190202
447;2;1;1;1;2;3;1;2079729;2138194;20190302
448;2;1;1;1;2;3;1;2785453;2161085;20190402
449;2;1;1;1;2;3;1;2753611;2534215;20190502
450;2;1;1;1;2;3;1;2336889;2584080;20190602
451;2;1;1;1;2;3;1;2811673;2526967;20190702
452;2;1;1;1;2;3;1;2335082;2713446;20190802
453;2;1;1;1;2;3;1;2711504;2204500;20190902
454;2;1;1;1;2;3;1;2225391;2561455;20191002
455;2;1;1;1;2;3;1;2314443;2632595;20191102
456;2;1;1;1;2;3;1;2543377;2596578;20191202
457;2;1;1;1;1;5;1;2464544;2342540;20190102
458;2;1;1;1;1;5;1;2072202;2832765;20190202
459;2;1;1;1;1;5;1;2594735;2525008;20190302
460;2;1;1;1;1;5;1;2499309;2241510;20190402
461;2;1;1;1;1;5;1;2655912;2873234;20190502
462;2;1;1;1;1;5;1;2852147;2321276;20190602
463;2;1;1;1;1;5;1;2041091;2688914;20190702
464;2;1;1;1;1;5;1;2871180;2245179;20190802
465;2;1;1;1;1;5;1;2613161;2580054;20190902
466;2;1;1;1;1;5;1;2631312;2217081;20191002
467;2;1;1;1;1;5;1;2150387;2175807;20191102
468;2;1;1;1;1;5;1;2085175;2209595;20191202
469;2;1;1;1;3;4;1;2491846;2783837;20190102
470;2;1;1;1;3;4;1;2924624;2781630;20190202
471;2;1;1;1;3;4;1;2513847;2861043;20190302
472;2;1;1;1;3;4;1;2356524;2563270;20190402
473;2;1;1;1;3;4;1;2564609;2508284;20190502
474;2;1;1;1;3;4;1;2934778;2055320;20190602
475;2;1;1;1;3;4;1;2488089;2852647;20190702
476;2;1;1;1;3;4;1;2743470;2739067;20190802
477;2;1;1;1;3;4;1;2798836;2664211;20190902
478;2;1;1;1;3;4;1;2242544;2204616;20191002
479;2;1;1;1;3;4;1;2227025;2334540;20191102
480;2;1;1;1;3;4;1;2669530;2930037;20191202
481;3;1;1;1;1;1;1;2730204;2829751;20190102
482;3;1;1;1;1;1;1;2933264;2684363;20190202
483;3;1;1;1;1;1;1;2711086;2053592;20190302
484;3;1;1;1;1;1;1;2667460;2539524;20190402
485;3;1;1;1;1;1;1;2307335;2142329;20190502
486;3;1;1;1;1;1;1;2247184;2043343;20190602
487;3;1;1;1;1;1;1;2405429;2061630;20190702
488;3;1;1;1;1;1;1;2827365;2251994;20190802
489;3;1;1;1;1;1;1;2228195;2672326;20190902
490;3;1;1;1;1;1;1;2887850;2637894;20191002
491;3;1;1;1;1;1;1;2631590;2353761;20191102
492;3;1;1;1;1;1;1;2069714;2550205;20191202
493;3;1;1;1;1;2;1;2174191;2320626;20190102
494;3;1;1;1;1;2;1;2686997;2261728;20190202
